jd_filename,sector,role_type,category,code,code_label,evidence,required,confidence
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DISPOSITION,DP3,People-focused / caring,Proven leadership qualities as well as a strong commitment to safety.,required,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DISPOSITION,DP1,Safety-focused,Proven leadership qualities as well as a strong commitment to safety.,required,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DISPOSITION,DP15,Self-management / independent work,"Self-motivated, hardworking, reliable and a team player.",required,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DISPOSITION,DP2,Strong communicator,Excellent verbal and written communication skills.,required,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,KNOWLEDGE,K5,Operational systems / software knowledge,Computer skills including MS Office products.,required,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DISPOSITION,DP3,People-focused / caring,Interact with Management and other Employees with a friendly manner at all times.,required,medium
BHP.docx,Coal - Surface,Production Supervisor,DUTY,D1,Supervise and lead crews/contractors,Site Responsible Person for Technology resources on site (permanent and contractors) and ensures your team works within Safe Systems of Work in a changing work environment,not_specified,medium
BHP.docx,Coal - Surface,Production Supervisor,DUTY,D5,Ensure statutory compliance,Site Responsible Person for Technology resources on site (permanent and contractors) and ensures your team works within Safe Systems of Work in a changing work environment,not_specified,medium
BHP.docx,Coal - Surface,Production Supervisor,DUTY,D9,Coordinate resources,Manages and coordinates tasks and resources available on site to ensure incidents and events can be resolved in accordance with the business priorities/expectations,not_specified,high
BHP.docx,Coal - Surface,Production Supervisor,DUTY,D11,Plan and schedule work,Review Maintenance work tasks/schedules and work with planners ensuring good work management practices are followed through computer based management system (SAP) and (Standardised Work),not_specified,high
BHP.docx,Coal - Surface,Production Supervisor,KNOWLEDGE,K5,Operational systems / software knowledge,Review Maintenance work tasks/schedules and work with planners ensuring good work management practices are followed through computer based management system (SAP) and (Standardised Work),required,medium
BHP.docx,Coal - Surface,Production Supervisor,DUTY,D16,Stakeholder engagement & cross-functional collaboration,"Collaborate with other departments (Security, Infrastructure, Workshops, Remote Teams, Applications, Networks and vendors) to ensure the effective operation and maintenance of the technology environment to support business systems/operations",not_specified,high
BHP.docx,Coal - Surface,Production Supervisor,DUTY,D16,Stakeholder engagement & cross-functional collaboration,"Acts as the escalation contact for Technology site operations issues supporting Minerals Australia Technology SASH controls, and Service Owner accountabilities across all of the above locations",not_specified,medium
BHP.docx,Coal - Surface,Production Supervisor,DUTY,D1,Supervise and lead crews/contractors,Contractor representative for associated contractors supporting both Service Owner and I&S work scoping and compliance activities.,not_specified,medium
BHP.docx,Coal - Surface,Production Supervisor,EXPERIENCE,E10,Industry breadth — heavy industry beyond mining,"You will have a background in Operations Technology in large-scale environments, preferably mining.",required,medium
BHP.docx,Coal - Surface,Production Supervisor,KNOWLEDGE,K4,Equipment / plant knowledge,"You are likely to be multi-skilled and have knowledge of mining operations technology; security systems, IT and OT networks, Wireless technology (Meraki/Cisco), CCTV and Key Management, SALTO security locks.",required,medium
BHP.docx,Coal - Surface,Production Supervisor,QUALIFICATIONS,Q9,Trade qualification (with discipline named),"A trade certificate / tertiary qualification in Telecommunications, Electrical, Electronics or similar discipline, is a mandatory requirement for this role.",required,high
BHP.docx,Coal - Surface,Production Supervisor,QUALIFICATIONS,Q10,Engineering tertiary qualification,"A trade certificate / tertiary qualification in Telecommunications, Electrical, Electronics or similar discipline, is a mandatory requirement for this role.",required,medium
BHP.docx,Coal - Surface,Production Supervisor,EXPERIENCE,E1,Years of supervisory experience,"You will be a great people manager, leading a team of 2-5 personnel, with proven experience leading high performing team in an operational environment.",required,high
BHP.docx,Coal - Surface,Production Supervisor,EXPERIENCE,E8,Workforce context,"You will be a great people manager, leading a team of 2-5 personnel, with proven experience leading high performing team in an operational environment.",required,high
BHP.docx,Coal - Surface,Production Supervisor,DISPOSITION,DP2,Strong communicator,"As the preferred candidate, you will have outstanding interpersonal, communication and presentation skills, with the ability to work with diverse stakeholder groups at all levels.",required,high
BHP.docx,Coal - Surface,Production Supervisor,DISPOSITION,DP14,Relationship-building / stakeholder management,"As the preferred candidate, you will have outstanding interpersonal, communication and presentation skills, with the ability to work with diverse stakeholder groups at all levels.",required,medium
BHP.docx,Coal - Surface,Production Supervisor,KNOWLEDGE,K5,Operational systems / software knowledge,"Experience of SAP Work Management, Standardised Work, BHP Operating System and cost-control will be well regarded.",desirable,high
BHP.docx,Coal - Surface,Production Supervisor,DISPOSITION,DP6,Problem-solver / analytical,Excellent analytical and problem-solving skills with the ability to prioritise effectively in a high-pressure environment.,required,high
BHP.docx,Coal - Surface,Production Supervisor,DISPOSITION,DP12,Decision-making under pressure,Excellent analytical and problem-solving skills with the ability to prioritise effectively in a high-pressure environment.,required,medium
BHP.docx,Coal - Surface,Production Supervisor,DISPOSITION,DP13,Time management & prioritisation,Excellent analytical and problem-solving skills with the ability to prioritise effectively in a high-pressure environment.,required,medium
BHP.docx,Coal - Surface,Production Supervisor,DISPOSITION,DP1,Safety-focused,You can interpret and read maintenance plans and technical information. Proven Safety leadership skills and a C class driver’s licence are required for this position.,required,high
BHP.docx,Coal - Surface,Production Supervisor,QUALIFICATIONS,Q11,Driver's licence,You can interpret and read maintenance plans and technical information. Proven Safety leadership skills and a C class driver’s licence are required for this position.,required,high
BHP.docx,Coal - Surface,Production Supervisor,QUALIFICATIONS,Q6,QLD Coal Board Medical / ResHealth Medical,Please note as part of this recruitment process the successful applicant will need to conduct a Queensland legislated coal mine workers’ health assessment.,required,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,"Supervision and management of staff and contractors including coaching, mentoring and managing shift schedules & work plans",not_specified,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D2,"Coach, mentor, develop team capability","Supervision and management of staff and contractors including coaching, mentoring and managing shift schedules & work plans",not_specified,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D3,Allocate tasks and manage workloads,"Supervision and management of staff and contractors including coaching, mentoring and managing shift schedules & work plans",not_specified,medium
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D4,Conduct safety leadership activities,Safety Management: training staff on safe working practices and conducting regular safety audits,not_specified,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D17,Training delivery & competency assurance,Safety Management: training staff on safe working practices and conducting regular safety audits,not_specified,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"Effective management of production and maintenance activities, including promoting and enforcing safety processes and protocols to meet performance outcomes.",not_specified,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D8,Manage production performance & targets,"Effective management of production and maintenance activities, including promoting and enforcing safety processes and protocols to meet performance outcomes.",not_specified,medium
Boral Narangba.docx,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,"Effective management of production and maintenance activities, including promoting and enforcing safety processes and protocols to meet performance outcomes.",not_specified,high
Boral Narangba.docx,Quarry,Quarry Supervisor,EXPERIENCE,E6,Sector experience — Quarry / Construction materials,"Demonstrated experience in hard rock quarry operations, mining and/or fixed and mobile plant operations",required,high
Boral Narangba.docx,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,"Demonstrated experience in hard rock quarry operations, mining and/or fixed and mobile plant operations",required,medium
Boral Narangba.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K4,Equipment / plant knowledge,Strong knowledge of hard rock quarrying and crushing processes,required,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DISPOSITION,DP7,Initiative / proactive,"Strong leadership attributes including initiative to identify, manage, and solve issues as they arise",required,high
Boral Narangba.docx,Quarry,Quarry Supervisor,DISPOSITION,DP3,People-focused / caring,"Strong leadership attributes including initiative to identify, manage, and solve issues as they arise",required,medium
Boral Narangba.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K7,Continuous improvement methodology,Experience in LEAN Manufacturing will be highly regarded.,desirable,high
Boral.docx,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,"This position will fulfill the successful candidate’s desire for responsibility and accountability in the delivery of key duties, including supervision and coordination of all daily site activities, leading safety and environmental legislation compliance and implementation of business HSE policies and procedures, promoting, facilitating and initiating LEAN activities, as well as driving customer focused product and service outcomes.",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"This position will fulfill the successful candidate’s desire for responsibility and accountability in the delivery of key duties, including supervision and coordination of all daily site activities, leading safety and environmental legislation compliance and implementation of business HSE policies and procedures, promoting, facilitating and initiating LEAN activities, as well as driving customer focused product and service outcomes.",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D5,Ensure statutory compliance,"This position will fulfill the successful candidate’s desire for responsibility and accountability in the delivery of key duties, including supervision and coordination of all daily site activities, leading safety and environmental legislation compliance and implementation of business HSE policies and procedures, promoting, facilitating and initiating LEAN activities, as well as driving customer focused product and service outcomes.",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,"This position will fulfill the successful candidate’s desire for responsibility and accountability in the delivery of key duties, including supervision and coordination of all daily site activities, leading safety and environmental legislation compliance and implementation of business HSE policies and procedures, promoting, facilitating and initiating LEAN activities, as well as driving customer focused product and service outcomes.",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D10,Drive continuous improvement,"This position will fulfill the successful candidate’s desire for responsibility and accountability in the delivery of key duties, including supervision and coordination of all daily site activities, leading safety and environmental legislation compliance and implementation of business HSE policies and procedures, promoting, facilitating and initiating LEAN activities, as well as driving customer focused product and service outcomes.",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D15,Environmental & quality compliance,"This position will fulfill the successful candidate’s desire for responsibility and accountability in the delivery of key duties, including supervision and coordination of all daily site activities, leading safety and environmental legislation compliance and implementation of business HSE policies and procedures, promoting, facilitating and initiating LEAN activities, as well as driving customer focused product and service outcomes.",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,"Supervision and management of staff and contractors including coaching, mentoring and managing shift schedules & work plans",not_specified,high
Boral.docx,Quarry,Quarry Supervisor,DUTY,D2,"Coach, mentor, develop team capability","Supervision and management of staff and contractors including coaching, mentoring and managing shift schedules & work plans",not_specified,high
Boral.docx,Quarry,Quarry Supervisor,DUTY,D3,Allocate tasks and manage workloads,"Supervision and management of staff and contractors including coaching, mentoring and managing shift schedules & work plans",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D4,Conduct safety leadership activities,Safety Management: training staff on safe working practices and conducting regular safety audits,not_specified,high
Boral.docx,Quarry,Quarry Supervisor,DUTY,D17,Training delivery & competency assurance,Safety Management: training staff on safe working practices and conducting regular safety audits,not_specified,high
Boral.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"Effective management of production and maintenance activities, including promoting and enforcing safety processes and protocols to meet performance outcomes.",not_specified,high
Boral.docx,Quarry,Quarry Supervisor,DUTY,D8,Manage production performance & targets,"Effective management of production and maintenance activities, including promoting and enforcing safety processes and protocols to meet performance outcomes.",not_specified,medium
Boral.docx,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,"Effective management of production and maintenance activities, including promoting and enforcing safety processes and protocols to meet performance outcomes.",not_specified,high
Boral.docx,Quarry,Quarry Supervisor,EXPERIENCE,E6,Sector experience — Quarry / Construction materials,"Demonstrated experience in hard rock quarry operations, mining and/or fixed and mobile plant operations",required,high
Boral.docx,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,"Demonstrated experience in hard rock quarry operations, mining and/or fixed and mobile plant operations",required,medium
Boral.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K4,Equipment / plant knowledge,Strong knowledge of hard rock quarrying and crushing processes,required,high
Boral.docx,Quarry,Quarry Supervisor,DISPOSITION,DP7,Initiative / proactive,"Strong leadership attributes including initiative to identify, manage, and solve issues as they arise",required,high
Boral.docx,Quarry,Quarry Supervisor,DISPOSITION,DP3,People-focused / caring,"Strong leadership attributes including initiative to identify, manage, and solve issues as they arise",required,medium
Boral.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K7,Continuous improvement methodology,Experience in LEAN Manufacturing will be highly regarded.,desirable,high
Byrne Bros.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"Safe and efficient operation of quarry plant and equipment including excavators, loaders, forklifts and water carts",not_specified,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,"Safe and efficient operation of quarry plant and equipment including excavators, loaders, forklifts and water carts",required,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,Supervision and coordination of quarry personnel when required,not_specified,high
Byrne Bros.docx,Quarry,Quarry Supervisor,DUTY,D4,Conduct safety leadership activities,Conducting pre-start meetings and toolbox talks,not_specified,high
Byrne Bros.docx,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,"Ensuring compliance with company policies, safety systems and site procedures",not_specified,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,Monitoring plant performance and reporting maintenance requirements,not_specified,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,DUTY,D12,"Reporting, budgets and administration",Ensuring accurate recording of materials and operation of the weighbridge where required,not_specified,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,EXPERIENCE,E6,Sector experience — Quarry / Construction materials,Previous experience in quarry operations or similar heavy industry,required,high
Byrne Bros.docx,Quarry,Quarry Supervisor,EXPERIENCE,E10,Industry breadth — heavy industry beyond mining,Previous experience in quarry operations or similar heavy industry,required,high
Byrne Bros.docx,Quarry,Quarry Supervisor,DISPOSITION,DP1,Safety-focused,Strong commitment to workplace safety,required,high
Byrne Bros.docx,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,Experience operating heavy plant and machinery,required,high
Byrne Bros.docx,Quarry,Quarry Supervisor,EXPERIENCE,E1,Years of supervisory experience,Ability to supervise and support a small team,required,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,DISPOSITION,DP2,Strong communicator,Good communication and organisational skills,required,high
Byrne Bros.docx,Quarry,Quarry Supervisor,DISPOSITION,DP13,Time management & prioritisation,Good communication and organisational skills,required,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q5,Minerals & Quarry supervisor competencies,Mining Supervisor S123 qualification (or willingness to obtain),required,medium
Byrne Bros.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q7,First Aid Certificate,Current First Aid Certificate,required,high
Byrne Bros.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q12,High Risk Work Licences,Relevant High Risk Work Licences,required,high
Byrne Bros.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q11,Driver's licence,Current driver’s licence,required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D9,Coordinate resources,Ensure the quarry is adequately maintained and stock levels of components and consumables are maintained for Fixed Plants and Pugmill.,not_specified,medium
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D11,Plan and schedule work,Coordinate all maintenance activities including shutdowns with internal and external teams.,not_specified,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D16,Stakeholder engagement & cross-functional collaboration,Coordinate all maintenance activities including shutdowns with internal and external teams.,not_specified,medium
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D5,Ensure statutory compliance,Ensure all plant and equipment are operating well within the statutory requirements.,not_specified,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D12,"Reporting, budgets and administration",Ensure adequate records are maintained and regular maintenance procedures are being followed on all plant and equipment.,not_specified,medium
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D10,Drive continuous improvement,Monitor improvements to maintenance tasks and processes and plant performance.,not_specified,medium
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D12,"Reporting, budgets and administration",Be responsible for Fixed Plant budget and cost control,not_specified,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D10,Drive continuous improvement,"Uncover opportunities for improvements / initiatives in relation to work practices, planning and commissioning of new equipment, shutdowns, quarry operations, environmental, health and safety issues.",not_specified,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D2,"Coach, mentor, develop team capability",Mentor and develop a team of established apprentices.,not_specified,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K4,Equipment / plant knowledge,Possess a strong mechanical aptitude in crushing plants and equipment,required,medium
Heidelberg Materials.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q9,Trade qualification (with discipline named),Have a Boilermaker/Fitter qualification,required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,Have experience in pneumatic and hydraulic systems,required,medium
Heidelberg Materials.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K5,Operational systems / software knowledge,Are familiar with using SAP and have a strong grasp of MS Excel,required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DISPOSITION,DP4,Results-oriented,"You are results focussed, self-motivated and have a total commitment to risk management and Zero Harm and understand safety systems, work methods and risk assessments",required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DISPOSITION,DP15,Self-management / independent work,"You are results focussed, self-motivated and have a total commitment to risk management and Zero Harm and understand safety systems, work methods and risk assessments",required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DISPOSITION,DP1,Safety-focused,"You are results focussed, self-motivated and have a total commitment to risk management and Zero Harm and understand safety systems, work methods and risk assessments",required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K6,Risk management methodology,"You are results focussed, self-motivated and have a total commitment to risk management and Zero Harm and understand safety systems, work methods and risk assessments",required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DISPOSITION,DP12,Decision-making under pressure,You are a team player who can multi-task and make quick effective decisions under pressure,required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DISPOSITION,DP14,Relationship-building / stakeholder management,You have a positive presence in building strong and effective relationships with key internal and external stakeholders,required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DISPOSITION,DP6,Problem-solver / analytical,You are a natural problem solver and enjoy carrying out root cause analysis and troubleshooting,required,high
Heidelberg Materials.docx,Quarry,Quarry Supervisor,DUTY,D13,Incident investigation & root cause analysis,You are a natural problem solver and enjoy carrying out root cause analysis and troubleshooting,not_specified,medium
Heidelberg Materials.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q12,High Risk Work Licences,Competencies in Confined Spaces/Working at Heights/EWP and Forklift/High Risk Work licences.,required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,Lead and motivate a medium-sized team of quarry workers and subcontractors to work safely and productively,not_specified,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,Lead and motivate a medium-sized team of quarry workers and subcontractors to work safely and productively,not_specified,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D9,Coordinate resources,"Make sensible, safe and efficient decisions to optimize quarry resource and equipment efficiencies",not_specified,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"Operate and oversee the fixed crushing plant, ensuring consistent production, monitoring feed levels, adjusting crusher settings, and preventing blockages",not_specified,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D8,Manage production performance & targets,"Operate and oversee the fixed crushing plant, ensuring consistent production, monitoring feed levels, adjusting crusher settings, and preventing blockages",not_specified,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"Conduct regular inspections of screens, conveyors, and other plant components to maintain smooth operation and minimize downtime",not_specified,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D8,Manage production performance & targets,"Monitor material flow and quality, adjusting processes to meet production targets and maintain product specifications",not_specified,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D15,Environmental & quality compliance,"Monitor material flow and quality, adjusting processes to meet production targets and maintain product specifications",not_specified,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,Contribute to a positive safety culture by ensuring procedures are followed and documented,not_specified,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D10,Drive continuous improvement,Strive to improve production processes and the quality of materials produced,not_specified,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DUTY,D11,Plan and schedule work,Understand anticipated future production requirements and plan accordingly,not_specified,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DISPOSITION,DP5,Hands-on / front-line leadership,Hands on - lead by example,required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,EXPERIENCE,E1,Years of supervisory experience,Greater than 5 years of hands-on supervisory experience working in a quarry preferred.,desirable,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,EXPERIENCE,E6,Sector experience — Quarry / Construction materials,Greater than 5 years of hands-on supervisory experience working in a quarry preferred.,desirable,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q17,VOC (Verification of Competency) for named equipment,"Certification in different types of plant and equipment, health and safety, and risk management systems",required,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K6,Risk management methodology,"Certification in different types of plant and equipment, health and safety, and risk management systems",required,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,KNOWLEDGE,K10,Product specifications / standards knowledge,Familiarity with TMR quarry product specifications,required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,Experience in crushing and screening plants,required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,QUALIFICATIONS,Q9,Trade qualification (with discipline named),Strong mechanical aptitude and a mechanical trade background,required,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DISPOSITION,DP5,Hands-on / front-line leadership,"Ability to lead by example, prioritize tasks, and meet timeframes and deadlines",required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DISPOSITION,DP13,Time management & prioritisation,"Ability to lead by example, prioritize tasks, and meet timeframes and deadlines",required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DISPOSITION,DP2,Strong communicator,Excellent communication and leadership skills,required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DISPOSITION,DP3,People-focused / caring,Excellent communication and leadership skills,required,medium
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DISPOSITION,DP1,Safety-focused,Strong safety focus and a proactive approach to maintaining a positive safety culture,required,high
Quarry supervisor copy.docx,Quarry,Quarry Supervisor,DISPOSITION,DP7,Initiative / proactive,Strong safety focus and a proactive approach to maintaining a positive safety culture,required,medium
Quarry_Supervisor_NITRO_CRUSHING.docx,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,"Supervise and coordinate mobile crushing operations, ensuring efficiency and compliance with safety standards.",not_specified,high
Quarry_Supervisor_NITRO_CRUSHING.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"Supervise and coordinate mobile crushing operations, ensuring efficiency and compliance with safety standards.",not_specified,medium
Quarry_Supervisor_NITRO_CRUSHING.docx,Quarry,Quarry Supervisor,DUTY,D7,Oversee daily operations,"Operate and oversee mobile crushing equipment, including jaw and cone crushers, screens, and conveyors.",not_specified,medium
Quarry_Supervisor_NITRO_CRUSHING.docx,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,"Operate and oversee mobile crushing equipment, including jaw and cone crushers, screens, and conveyors.",required,medium
Quarry_Supervisor_NITRO_CRUSHING.docx,Quarry,Quarry Supervisor,DUTY,D2,"Coach, mentor, develop team capability","Lead, train, and mentor a team of maintainer/operators, fostering a strong safety and performance culture.",not_specified,high
Quarry_Supervisor_NITRO_CRUSHING.docx,Quarry,Quarry Supervisor,DUTY,D17,Training delivery & competency assurance,"Lead, train, and mentor a team of maintainer/operators, fostering a strong safety and performance culture.",not_specified,high
Quarry_Supervisor_NITRO_CRUSHING.docx,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,"Lead, train, and mentor a team of maintainer/operators, fostering a strong safety and performance culture.",not_specified,medium
